quarter,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2025-04-01,Sharethrough InApp Video (Open Auction),14286.43,,,,0
2025-01-01,Seedtag - Open Auction - CTV,14227.58,,,,0
2025-07-01,SundaySky - MW - 1st Price,14226.78,,,2135.26,0
2025-07-01,Centro Display InApp,14053.49,,,2007.11,0
2025-04-01,Viant - APP [Display],13953.23,,,,0
2025-01-01,Ad Theorent - Desktop/MW - 1st Price,13815.31,,,,0
2026-04-01,TrueX Vizio games,13580.82,,1602.78,,0
2025-01-01,Yahoo - Desktop MW - Open Auction,13485.27,,,,0
2026-04-01,Ad Theorent - CTV - 1st Price,13407.55,,976.47,,0
2025-04-01,SundaySky - MW - 1st Price,13317.26,,,,0
2025-01-01,Centro Display InApp,13309.91,,,,0
2025-04-01,Ad Theorent - Desktop/MW - 1st Price,13277.47,,,,0
2025-07-01,SundaySky - Desktop - 1st Price,13138.32,,,2153.83,0
2025-04-01,Marketing Architects - CTV - EW Scripps LAT,13004.55,,,,0
2026-04-01,Marketing Architects - CTV 1st Price,12813.8,,4031.71,,0
2025-07-01,LoopMe DSP Lottery Campaign copy (deal mimic),12644.11,,,30.35,0
2026-04-01,TTD - APP,12557.08,,1760.12,,0
2025-07-01,SimpliFi - APP [Display],12555.81,,,2954.91,0
2026-07-01,Beeswax UR Improvement Tier 2 (Mid UR),12530.79,12530.79,,,0
2025-07-01,TrueX Vizio AVOD,12473.16,,,1375.08,0
2025-01-01,TrueX Vizio games,12352.52,,,,0
2025-04-01,Sharethrough CTV Video,12352.09,,,,0
2025-01-01,Ad Theorent - CTV - 1st Price,12223.4,,,,0
2026-04-01,TrueX Comcast games,12145.56,,2150.52,,0
2025-01-01,DemandBase - CTV,12073.66,,,,0
2025-01-01,SimpliFi - APP [Display],11992.13,,,,0
2025-01-01,Viant - Desktop [Display],11979.84,,,,0
2026-04-01,Viant - MW - 1st Price,11925.93,,2166.96,,0
2025-07-01,TTD - MW - 1st Price (HB),11913.04,,,1263.16,0
2025-10-01,Viant - Desktop - 1st Price,11904.45,,,,0
2025-04-01,Bidswitch - MW - 1st Price (HB),11886.39,,,,0
2026-01-01,Lemma DSP Inapp Video,11817.97,,,,0
2026-04-01,SkyUK_SkyMedia,11788.82,,657.89,,0
2025-01-01,Sharethrough InApp Video (Open Auction),11783.27,,,,0
2025-01-01,MadHive - CTV - 1st Price (Paramount OA),11745.76,,,,0
2025-04-01,TTD - MW [Display],11728.19,,,,0
2025-10-01,Centro Display InApp,11536.67,,,,0
2026-01-01,Viant - Desktop - 1st Price,11403.16,,,,0
