period,connection_type,business_line,product_category,dsp_group_name,clearvu_account,channel_id,rev_gross
previous_week,Direct,Select - BFM,CTV,Basis Technologies,IRIS,Basis Technologies,254.56
current_week,BidSwitch,Open Auction - BFM,Display,AdElement,,AdElement,236.35
previous_week,BidSwitch,Open Auction - Seedtag,Native,Madopi,,Madopi,231.16
previous_week,BidSwitch,Open Auction - BFM,Display,DV360,,DV360,228.96
previous_week,Direct,Open Auction - Seedtag,Online Video,Opera,,Opera,221.53
current_week,Direct,Open Auction - BFM,CTV,Lemma DSP,,Lemma DSP,208.85
current_week,Direct,Select - BFM,CTV,Viant,Viant,Viant,202.51
current_week,BidSwitch,Open Auction - Seedtag,Online Video,Sportradar,,Sportradar,170.72
previous_week,BidSwitch,Open Auction - BFM,CTV,Amazon DSP,,Amazon DSP,168.05
current_week,BidSwitch,Open Auction - Seedtag,Native,Madopi,,Madopi,157.19
current_week,Direct,Open Auction - BFM,CTV,Demandbase,,Demandbase,146.39
current_week,BidSwitch,Open Auction - BFM,CTV,Knorex,,Knorex,143.87
previous_week,Direct,DSP Marketplace - BFM,CTV,DeepIntent,,DeepIntent,143.32
current_week,Direct,Open Auction - BFM,Display,Basis Technologies,,Basis Technologies,136.03
current_week,BidSwitch,Open Auction - BFM,CTV,Amazon DSP,,Amazon DSP,127.55
previous_week,BidSwitch,Open Auction - Seedtag,Display,AdMixerBidswitch,,AdMixerBidswitch,122.88
current_week,BidSwitch,PMP CTV - O&O,CTV,Amazon DSP,,Amazon DSP,121.08
previous_week,Direct,Open Auction - BFM,Display,Basis Technologies,,Basis Technologies,106.75
previous_week,Direct,Select - BFM,CTV,TheTradeDesk,Chief Media,TheTradeDesk,105.59
current_week,Direct,Open Auction - BFM,CTV,GroundTruth,,GroundTruth,101.51
current_week,Direct,Open Auction - Seedtag,Online Video,DeepIntent,,DeepIntent,99.54
previous_week,Direct,Open Auction - BFM,CTV,Xandr,,AppNexus,94.93
previous_week,Direct,Open Auction - BFM,CTV,GroundTruth,,GroundTruth,92.65
previous_week,Direct,Select - BFM,CTV,Walmart,Chief Media,Walmart,91.82
current_week,BidSwitch,Open Auction - Seedtag,Display,AdMixerBidswitch,,AdMixerBidswitch,89.39
previous_week,Direct,Open Auction - BFM,CTV,Lemma DSP,,Lemma DSP,86.01
previous_week,Direct,Open Auction - BFM,Display,Walmart,,Walmart,85.33
current_week,Direct,Open Auction - BFM,Display,Walmart,,Walmart,83.01
current_week,BidSwitch,DSP Marketplace - BFM,CTV,Zeta DSP,,Zeta DSP,81.9
previous_week,Direct,Open Auction - BFM,CTV,SmartyAds,,SmartyAds,81.14
previous_week,Direct,Open Auction - BFM,CTV,Demandbase,,Demandbase,75.08
current_week,Direct,PMP - Curation,Display,TheTradeDesk,,TheTradeDesk,74.55
current_week,BidSwitch,PMP - Curation,Online Video,DV360,,DBM,71.08
previous_week,BidSwitch,PMP CTV - O&O,CTV,Amazon DSP,,Amazon DSP,70.81
previous_week,BidSwitch,PMP - Curation,Display,DV360,,DBM,70.32
current_week,Direct,PMP Web - O&O,Display,StackAdapt,,StackAdaptDSP,66.75
previous_week,BidSwitch,Open Auction - Seedtag,Online Video,Sportradar,,Sportradar,62.27
current_week,BidSwitch,Select - BFM,CTV,DV360,MultiLocal,DV360,60.77
current_week,Direct,Open Auction - BFM,CTV,Walmart,,Walmart,53.92
previous_week,BidSwitch,DSP Marketplace - BFM,CTV,Zeta DSP,,Zeta DSP,48.37
previous_week,BidSwitch,Open Auction - BFM,CTV,Knorex,,Knorex,47.57
previous_week,Direct,Select - BFM,CTV,Viant,Viant,Viant,41.22
current_week,Direct,Open Auction - BFM,CTV,SmartyAds,,SmartyAds,39.24
previous_week,BidSwitch,Open Auction - BFM,Display,AdElement,,AdElement,34.75
current_week,Direct,DSP Marketplace - BFM,CTV,Stirista,,Stirista,32.97
current_week,Direct,Open Auction - BFM,CTV,RtbHouse,,RtbHouse,32.34
current_week,Direct,Open Auction - Seedtag,Online Video,Beeswax,,Beeswax,30.89
previous_week,Direct,DSP Marketplace - BFM,CTV,Stirista,,Stirista,30.4
previous_week,Direct,Open Auction - BFM,CTV,Walmart,,Walmart,27.74
current_week,Direct,Open Auction - BFM,CTV,DeepIntent,,DeepIntent,27.44
previous_week,Direct,Open Auction - BFM,Display,Adtheorent,,Adtheorent,27.3
previous_week,BidSwitch,Open Auction - BFM,CTV,OnSpot Data,,OnSpot Data,25.54
current_week,Direct,Open Auction - BFM,Display,Adtheorent,,Adtheorent,25.42
previous_week,Direct,Open Auction - BFM,CTV,Equativ,,Equativ,24.77
current_week,Direct,Open Auction - Seedtag,Online Video,Opera,,Opera,22.54
previous_week,Direct,Open Auction - Seedtag,Online Video,DeepIntent,,DeepIntent,22.51
current_week,Direct,PMP - Curation,Online Video,RtbHouse,,RtbHouse,21.45
current_week,BidSwitch,Open Auction - BFM,CTV,OnSpot Data,,OnSpot Data,21.12
current_week,BidSwitch,Open Auction - BFM,CTV,IPONWEB BidCore,,IPONWEB BidCore,19.23
previous_week,Direct,DSP Marketplace - BFM,CTV,Marketing Architects,,Marketing Architects -RTB,17.43
current_week,Direct,Open Auction - BFM,CTV,Octillion,,Octillion,17.42
current_week,Direct,Open Auction - BFM,Display,Conversant,,Epsilon (Conversant),17.21
current_week,Direct,DSP Marketplace - BFM,CTV,Marketing Architects,,Marketing Architects -RTB,16.83
current_week,Direct,Open Auction - BFM,CTV,IQM,,IQM,16.04
current_week,Direct,Select - BFM,CTV,TheTradeDesk,Chief Media,TheTradeDesk,15.7
previous_week,Direct,Open Auction - BFM,Display,Conversant,,Epsilon (Conversant),13.77
previous_week,Direct,Open Auction - BFM,CTV,DeepIntent,,DeepIntent,13.75
previous_week,Direct,PMP - Curation,Display,TheTradeDesk,,TheTradeDesk,13.32
current_week,Direct,Open Auction - BFM,Display,DeepIntent,,DeepIntent,12.49
current_week,Direct,Select - BFM,CTV,JamLoop OpenRTB,Hearst News,JamLoop OpenRTB,12.11
current_week,Direct,Open Auction - BFM,CTV,Metax,,Metax,11.89
previous_week,Direct,Open Auction - BFM,CTV,RtbHouse,,RtbHouse,11.35
previous_week,Direct,Open Auction - BFM,CTV,IQM,,IQM,10.01
current_week,Direct,PMP - Curation,Display,StackAdapt,,StackAdaptDSP,7.58
previous_week,BidSwitch,Open Auction - BFM,CTV,Infillion,,Infillion,7.54
current_week,BidSwitch,Open Auction - BFM,CTV,Infillion,,Infillion,7.51
previous_week,Direct,PMP - Curation,Display,StackAdapt,,StackAdaptDSP,7.2
current_week,Direct,DSP Marketplace - BFM,Display,GroundTruth,,GroundTruth,6.81
current_week,BidSwitch,Open Auction - Seedtag,Online Video,Madopi,,Madopi,6.61
current_week,Direct,DSP Marketplace - BFM,CTV,SmartyAds,,SmartyAds,6.47
previous_week,Direct,DSP Marketplace - BFM,CTV,SmartyAds,,SmartyAds,4.38
previous_week,Direct,Open Auction - BFM,CTV,Octillion,,Octillion,3.58
previous_week,Direct,Open Auction - BFM,CTV,Metax,,Metax,3.04
previous_week,BidSwitch,Open Auction - Seedtag,Online Video,Madopi,,Madopi,2.99
current_week,Direct,Open Auction - BFM,CTV,ZetaBidswitch,,ZetaBidswitch,2.69
previous_week,Direct,Select - BFM,CTV,JamLoop OpenRTB,Hearst News,JamLoop OpenRTB,2.33
previous_week,Direct,DSP Marketplace - BFM,Display,GroundTruth,,GroundTruth,2.24
current_week,Direct,Open Auction - Seedtag,Display,DeepIntent,,DeepIntent,2.01
current_week,Direct,Select - BFM,Display,Viant,Quorum,Viant,1.98
previous_week,BidSwitch,DSP Marketplace - BFM,CTV,Samsung DSP,,Samsung DSP,1.77
current_week,Direct,DSP Marketplace - BFM,Display,Stirista,,Stirista,1.66
current_week,BidSwitch,Open Auction - BFM,Display,OnSpot Data,,OnSpot Data,1.49
previous_week,Direct,Open Auction - BFM,Display,Krush Media,,Krush Media,1.39
previous_week,Direct,Open Auction - BFM,Display,DeepIntent,,DeepIntent,1.36
current_week,BidSwitch,Open Auction - BFM,Display,Infillion,,Infillion,1.25
current_week,Direct,Open Auction - BFM,CTV,Krush Media,,Krush Media,1.21
previous_week,Direct,DSP Marketplace - BFM,Display,Stirista,,Stirista,1.18
previous_week,BidSwitch,Open Auction - BFM,Display,OnSpot Data,,OnSpot Data,1.1
current_week,Direct,Open Auction - BFM,Display,Krush Media,,Krush Media,1.08
previous_week,Direct,Open Auction - BFM,CTV,Krush Media,,Krush Media,0.96
previous_week,Direct,Open Auction - BFM,CTV,SmartClip,,SmartClip,0.81
previous_week,Direct,Open Auction - Seedtag,Display,DeepIntent,,DeepIntent,0.81
previous_week,Direct,Select - BFM,Display,Viant,Quorum,Viant,0.71
current_week,Direct,DSP Marketplace - BFM,Display,Adtheorent,,Adtheorent,0.68
previous_week,Direct,DSP Marketplace - BFM,Display,Adtheorent,,Adtheorent,0.63
previous_week,Direct,Open Auction - BFM,CTV,ZetaBidswitch,,ZetaBidswitch,0.6
current_week,BidSwitch,DSP Marketplace - BFM,CTV,Samsung DSP,,Samsung DSP,0.58
previous_week,BidSwitch,Open Auction - BFM,CTV,Samsung DSP,,Samsung DSP,0.55
previous_week,Direct,Open Auction - BFM,Display,GroundTruth,,GroundTruth,0.53
current_week,Direct,Open Auction - BFM,Display,Beeswax,,Beeswax,0.5
current_week,Direct,Open Auction - BFM,Display,GroundTruth,,GroundTruth,0.47
previous_week,Direct,Open Auction - BFM,Display,Beeswax,,Beeswax,0.43
previous_week,Direct,Open Auction - Seedtag,Online Video,Beeswax,,Beeswax,0.41
previous_week,Direct,Open Auction - BFM,CTV,Stirista,,Stirista,0.41
previous_week,BidSwitch,Open Auction - BFM,Display,Infillion,,Infillion,0.41
current_week,Direct,Open Auction - BFM,CTV,Stirista,,Stirista,0.37
previous_week,BidSwitch,PMP - Curation,Online Video,DV360,,DBM,0.37
current_week,Direct,Open Auction - BFM,CTV,SamsungBidswitch,,SamsungBidswitch,0.3
current_week,BidSwitch,Open Auction - BFM,Display,Knorex,,Knorex,0.27
previous_week,BidSwitch,Open Auction - BFM,Display,AdIngenious,,AdIngenious,0.23
previous_week,Direct,Select - BFM,CTV,Adtelligent,A+E Networks,Adtelligent,0.22
current_week,Direct,Open Auction - BFM,Display,IQM,,IQM,0.2
previous_week,BidSwitch,Open Auction - BFM,Display,Marketperf,,Marketperf,0.17
previous_week,Direct,Open Auction - BFM,Display,IQM,,IQM,0.12
current_week,Direct,Select - BFM,CTV,Adtelligent,A+E Networks,Adtelligent,0.11
current_week,BidSwitch,Open Auction - BFM,Display,AdIngenious,,AdIngenious,0.09
current_week,BidSwitch,Open Auction - BFM,Display,Aroscop,,Aroscop,0.09
current_week,Direct,Open Auction - BFM,CTV,Zeasn,,Zeasn,0.09
previous_week,Direct,Open Auction - BFM,CTV,SamsungBidswitch,,SamsungBidswitch,0.08
previous_week,Direct,Open Auction - BFM,CTV,Zeasn,,Zeasn,0.07
current_week,BidSwitch,Open Auction - BFM,Display,Marketperf,,Marketperf,0.06
current_week,BidSwitch,Open Auction - BFM,Display,Zeta DSP,,Zeta DSP,0.05
previous_week,BidSwitch,Open Auction - BFM,Display,Knorex,,Knorex,0.04
current_week,BidSwitch,Open Auction - BFM,Display,IPONWEB BidCore,,IPONWEB BidCore,0.04
