quarter,connection_type,business_line,product_category,dsp_group_name,channel_id,rev_gross
2026-04-01,Direct,Open Auction - Seedtag,Display,RtbHouse,RtbHouse,771723.74
2025-07-01,BidSwitch,Open Auction - Seedtag,Online Video,DV360,DBM,740149.95
2025-07-01,Direct,Open Auction - BFM,CTV,TheTradeDesk,TheTradeDesk,735728.85
2026-07-01,Direct,Open Auction - Seedtag,Native,MSAN,AppNexus,728340.87
2026-04-01,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,TheTradeDesk,725140.2
2026-07-01,Direct,Open Auction - Seedtag,Display,MSAN,AppNexus,715427.08
2025-07-01,Direct,Select - BFM,CTV,TheTradeDesk,TheTradeDesk,701267.66
2026-04-01,Direct,Open Auction - Seedtag,Display,TheTradeDesk,TheTradeDesk,698772.14
2026-04-01,Direct,Open Auction - BFM,CTV,StackAdapt,StackAdapt,685421.16
2025-07-01,Direct,Open Auction - Seedtag,Display,MSAN,AppNexus,666695.14
2026-01-01,Direct,Open Auction - Seedtag,Display,RtbHouse,RtbHouse,650981.59
2026-01-01,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,TheTradeDesk,646742.16
2025-07-01,Direct,Open Auction - Seedtag,Display,Xandr,AppNexus,631760.23
2025-04-01,Direct,Select - BFM,CTV,TheTradeDesk,TheTradeDesk,626905.99
2025-10-01,Direct,Open Auction - Seedtag,Display,TheTradeDesk,TheTradeDesk,613393.03
2026-01-01,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,TheTradeDesk,597928.92
2025-04-01,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,TheTradeDesk,596961.99
2026-01-01,Direct,Open Auction - BFM,CTV,Viant,Viant,591320.59
2025-10-01,Direct,Open Auction - Seedtag,Display,Xandr,AppNexus,590669.98
2025-04-01,Direct,Open Auction - BFM,CTV,TheTradeDesk,TheTradeDesk,588895.28
2026-01-01,Direct,Open Auction - BFM,CTV,TheTradeDesk,TheTradeDesk,585593.54
2026-01-01,Direct,Open Auction - Seedtag,Display,TheTradeDesk,TheTradeDesk,568062.92
2026-04-01,Direct,Open Auction - Seedtag,Display,StackAdapt,StackAdaptDSP,566150.94
2025-01-01,Direct,Open Auction - Seedtag,Display,RtbHouse,RtbHouse,552401.72
2026-04-01,Direct,Open Auction - Seedtag,Native,Outbrain/Teads,Outbrain,529419.77
2025-07-01,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,TheTradeDesk,517271.71
2025-07-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,504782.13
2025-10-01,Direct,PMP CTV - O&O,CTV,Viant,Viant,488860.66
2025-10-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,486239.25
2026-01-01,Direct,Open Auction - BFM,CTV,StackAdapt,StackAdapt,485719.57
2025-04-01,Direct,DSP Marketplace - BFM,CTV,Basis Technologies,Basis Technologies,483807.56
2025-01-01,Direct,Open Auction - Seedtag,Display,TheTradeDesk,TheTradeDesk,483413.19
2025-07-01,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,TheTradeDesk,478205.32
2026-04-01,BidSwitch,PMP CTV - O&O,CTV,DV360,DV360,474485.77
2026-04-01,BidSwitch,Open Auction - Seedtag,Online Video,DV360,DBM,471352.1
2025-01-01,Direct,Open Auction - BFM,CTV,TheTradeDesk,TheTradeDesk,468060.4
2026-01-01,Direct,Open Auction - Seedtag,Native,Outbrain/Teads,Outbrain,464470.29
2025-01-01,Direct,DSP Marketplace - BFM,CTV,Basis Technologies,Basis Technologies,454498.99
2025-04-01,Direct,Open Auction - Seedtag,Display,TheTradeDesk,TheTradeDesk,445976.62
2026-01-01,BidSwitch,PMP CTV - O&O,CTV,DV360,DV360,438425.13
2025-10-01,BidSwitch,PMP CTV - O&O,CTV,DV360,DV360,436651.39
2025-01-01,BidSwitch,Open Auction - Seedtag,Online Video,DV360,DBM,434203.31
2026-01-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,432659.89
2025-04-01,Direct,PMP Web - O&O,Online Video,TheTradeDesk,TheTradeDesk,431115.31
2025-04-01,BidSwitch,Open Auction - Seedtag,Display,DV360,GDN,430007.62
2025-04-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,423222.71
2025-10-01,Direct,Open Auction - BFM,CTV,StackAdapt,StackAdapt,417392.17
2025-04-01,Direct,DSP Marketplace - BFM,CTV,Viant,Viant,414726.78
2026-07-01,Direct,Open Auction - Seedtag,Native,RtbHouse,RtbHouse,409212.86
2026-01-01,BidSwitch,Open Auction - Seedtag,Online Video,DV360,DBM,407624.97
2025-10-01,BidSwitch,Open Auction - Seedtag,Display,DV360,GDN,406620.52
2025-07-01,BidSwitch,Open Auction - Seedtag,Display,DV360,GDN,400936.31
2025-04-01,Direct,Select - BFM,CTV,Yahoo DSP,Yahoo DSP,391175.75
2026-04-01,Direct,Open Auction - Seedtag,Native,StackAdapt,StackAdaptDSP,390889.15
2026-01-01,Direct,PMP Web - O&O,Online Video,TheTradeDesk,TheTradeDesk,386330.57
2026-04-01,Direct,Open Auction - BFM,CTV,TheTradeDesk,TheTradeDesk,382477.77
2025-07-01,Direct,Open Auction - Seedtag,Display,TheTradeDesk,TheTradeDesk,382358.74
2026-07-01,BidSwitch,PMP Web - O&O,Online Video,DV360,DBM,380514.32
2025-01-01,Direct,DSP Marketplace - BFM,CTV,Viant,Viant,377784.6
2025-07-01,Direct,Select - BFM,CTV,Yahoo DSP,Yahoo DSP,377720.95
2025-04-01,BidSwitch,Open Auction - Seedtag,Online Video,DV360,DBM,375216.1
2026-04-01,Direct,Open Auction - BFM,CTV,Beeswax,Beeswax,375213.38
2025-01-01,Direct,DSP Marketplace - BFM,CTV,JamLoop OpenRTB,JamLoop OpenRTB,371539.15
2025-01-01,Direct,Open Auction - Seedtag,Display,Outbrain/Teads,Outbrain,371290.14
2026-01-01,BidSwitch,Open Auction - Seedtag,Display,DV360,GDN,370124.48
2025-07-01,Direct,Open Auction - BFM,CTV,Conversant,Epsilon (Conversant),361204.15
2025-07-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,356726.78
2025-07-01,Direct,DSP Marketplace - BFM,CTV,Basis Technologies,Basis Technologies,351489.69
2025-10-01,Direct,Open Auction - Seedtag,Native,MSAN,AppNexus,351026.83
2025-04-01,Direct,Open Auction - Seedtag,Display,Outbrain/Teads,Outbrain,349513.34
2025-01-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,348825.95
2026-07-01,BidSwitch,PMP Web - O&O,Display,DV360,DBM,347889.72
2025-10-01,Direct,DSP Marketplace - BFM,CTV,Viant,Viant,339629.22
2026-04-01,Direct,Open Auction - Seedtag,Display,Outbrain/Teads,Outbrain,332688.15
2025-04-01,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,TheTradeDesk,318833.63
2025-01-01,Direct,Select - BFM,CTV,TheTradeDesk,TheTradeDesk,316055.14
2026-01-01,Direct,DSP Marketplace - BFM,CTV,Viant,Viant,315841.69
2026-04-01,Direct,DSP Marketplace - BFM,CTV,Viant,Viant,310397.72
2025-01-01,BidSwitch,Open Auction - Seedtag,Display,Sportradar,Sportradar,307832.05
2026-07-01,Direct,PMP Web - O&O,Online Video,TheTradeDesk,TheTradeDesk,307478.9
2026-01-01,BidSwitch,Open Auction - Seedtag,Display,Sportradar,Sportradar,301173.67
2026-07-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,295998.72
2025-01-01,BidSwitch,Open Auction - Seedtag,Display,DV360,GDN,291897.41
2026-07-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,289033.85
2026-04-01,Direct,Open Auction - Seedtag,Online Video,StackAdapt,StackAdaptDSP,288799.89
2026-04-01,Direct,Open Auction - Seedtag,Display,Nexxen,Nexxen,282198.2
2025-07-01,BidSwitch,PMP CTV - O&O,CTV,DV360,DV360,277327.52
2025-10-01,Direct,Select - BFM,CTV,Yahoo DSP,Yahoo DSP,275695.52
2025-07-01,Direct,DSP Marketplace - BFM,CTV,Viant,Viant,274110.24
2025-10-01,BidSwitch,Open Auction - Seedtag,Display,NextRoll,NextRoll,272211.71
2025-04-01,Direct,Open Auction - Seedtag,Display,Xandr,AppNexus,267961.71
2025-10-01,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,TheTradeDesk,263496.76
2025-04-01,Direct,Open Auction - BFM,CTV,Conversant,Epsilon (Conversant),263186.53
2025-01-01,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,TheTradeDesk,262019.19
2025-10-01,Direct,Open Auction - Seedtag,Display,Nexxen,Nexxen,258760.13
2025-10-01,Direct,DSP Marketplace - BFM,CTV,Beeswax,Beeswax,255867.12
2025-01-01,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,TheTradeDesk,252329.25
2026-01-01,Direct,Open Auction - Seedtag,Display,Outbrain/Teads,Outbrain,252257.89
